x=1, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.49,0.49,0.71)
x=104, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.09,0.57,0.82)
x=105, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.09,0.57,0.82)
x=106, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.08,0.57,0.82)
x=107, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.08,0.57,0.82)
x=108, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.08,0.57,0.82)
x=109, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.07,0.57,0.82)
x=110, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.07,0.57,0.82)
x=111, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.06,0.57,0.82)
x=112, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.06,0.57,0.82)
x=113, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.05,0.57,0.82)
x=114, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.05,0.57,0.82)
x=115, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.04,0.57,0.82)
x=116, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.04,0.57,0.82)
x=117, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.03,0.57,0.82)
x=118, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.03,0.57,0.82)
x=119, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.03,0.57,0.82)
x=120, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.02,0.57,0.82)
x=121, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.02,0.57,0.82)
x=122, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.01,0.57,0.82)
x=123, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.01,0.57,0.82)
x=124, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.00,0.57,0.82)
x=125, y=1, ray o = (0.10,0.10,0.00) ray d = (0.00,0.57,0.82)
x=126, y=1, ray o = (0.10,0.10,0.00) ray d = (0.01,0.57,0.82)
x=127, y=1, ray o = (0.10,0.10,0.00) ray d = (0.01,0.57,0.82)
x=128, y=1, ray o = (0.10,0.10,0.00) ray d = (0.02,0.57,0.82)
x=129, y=1, ray o = (0.10,0.10,0.00) ray d = (0.02,0.57,0.82)
x=130, y=1, ray o = (0.10,0.10,0.00) ray d = (0.03,0.57,0.82)
x=131, y=1, ray o = (0.10,0.10,0.00) ray d = (0.03,0.57,0.82)
x=132, y=1, ray o = (0.10,0.10,0.00) ray d = (0.03,0.57,0.82)
x=133, y=1, ray o = (0.10,0.10,0.00) ray d = (0.04,0.57,0.82)
x=134, y=1, ray o = (0.10,0.10,0.00) ray d = (0.04,0.57,0.82)
x=135, y=1, ray o = (0.10,0.10,0.00) ray d = (0.05,0.57,0.82)
x=136, y=1, ray o = (0.10,0.10,0.00) ray d = (0.05,0.57,0.82)
x=137, y=1, ray o = (0.10,0.10,0.00) ray d = (0.06,0.57,0.82)
x=138, y=1, ray o = (0.10,0.10,0.00) ray d = (0.06,0.57,0.82)
x=139, y=1, ray o = (0.10,0.10,0.00) ray d = (0.07,0.57,0.82)
x=140, y=1, ray o = (0.10,0.10,0.00) ray d = (0.07,0.57,0.82)
x=141, y=1, ray o = (0.10,0.10,0.00) ray d = (0.08,0.57,0.82)
x=142, y=1, ray o = (0.10,0.10,0.00) ray d = (0.08,0.57,0.82)
x=143, y=1, ray o = (0.10,0.10,0.00) ray d = (0.08,0.57,0.82)
x=144, y=1, ray o = (0.10,0.10,0.00) ray d = (0.09,0.57,0.82)
x=145, y=1, ray o = (0.10,0.10,0.00) ray d = (0.09,0.57,0.82)
x=146, y=1, ray o = (0.10,0.10,0.00) ray d = (0.10,0.57,0.82)
x=147, y=1, ray o = (0.10,0.10,0.00) ray d = (0.10,0.57,0.82)
x=148, y=1, ray o = (0.10,0.10,0.00) ray d = (0.11,0.57,0.82)
x=149, y=1, ray o = (0.10,0.10,0.00) ray d = (0.11,0.57,0.82)
x=150, y=1, ray o = (0.10,0.10,0.00) ray d = (0.12,0.57,0.82)
x=151, y=1, ray o = (0.10,0.10,0.00) ray d = (0.12,0.56,0.82)
x=152, y=1, ray o = (0.10,0.10,0.00) ray d = (0.13,0.56,0.82)
x=153, y=1, ray o = (0.10,0.10,0.00) ray d = (0.13,0.56,0.82)
x=154, y=1, ray o = (0.10,0.10,0.00) ray d = (0.13,0.56,0.81)
x=155, y=1, ray o = (0.10,0.10,0.00) ray d = (0.14,0.56,0.81)
x=156, y=1, ray o = (0.10,0.10,0.00) ray d = (0.14,0.56,0.81)
x=157, y=1, ray o = (0.10,0.10,0.00) ray d = (0.15,0.56,0.81)
x=158, y=1, ray o = (0.10,0.10,0.00) ray d = (0.15,0.56,0.81)
x=159, y=1, ray o = (0.10,0.10,0.00) ray d = (0.16,0.56,0.81)
x=160, y=1, ray o = (0.10,0.10,0.00) ray d = (0.16,0.56,0.81)
x=161, y=1, ray o = (0.10,0.10,0.00) ray d = (0.17,0.56,0.81)
x=162, y=1, ray o = (0.10,0.10,0.00) ray d = (0.17,0.56,0.81)
x=163, y=1, ray o = (0.10,0.10,0.00) ray d = (0.17,0.56,0.81)
x=164, y=1, ray o = (0.10,0.10,0.00) ray d = (0.18,0.56,0.81)
x=165, y=1, ray o = (0.10,0.10,0.00) ray d = (0.18,0.56,0.81)
x=166, y=1, ray o = (0.10,0.10,0.00) ray d = (0.19,0.56,0.81)
x=167, y=1, ray o = (0.10,0.10,0.00) ray d = (0.19,0.56,0.81)
x=168, y=1, ray o = (0.10,0.10,0.00) ray d = (0.20,0.56,0.81)
x=169, y=1, ray o = (0.10,0.10,0.00) ray d = (0.20,0.56,0.81)
x=170, y=1, ray o = (0.10,0.10,0.00) ray d = (0.21,0.56,0.80)
x=171, y=1, ray o = (0.10,0.10,0.00) ray d = (0.21,0.56,0.80)
x=172, y=1, ray o = (0.10,0.10,0.00) ray d = (0.21,0.56,0.80)
x=173, y=1, ray o = (0.10,0.10,0.00) ray d = (0.22,0.56,0.80)
x=174, y=1, ray o = (0.10,0.10,0.00) ray d = (0.22,0.55,0.80)
x=175, y=1, ray o = (0.10,0.10,0.00) ray d = (0.23,0.55,0.80)
x=176, y=1, ray o = (0.10,0.10,0.00) ray d = (0.23,0.55,0.80)
x=177, y=1, ray o = (0.10,0.10,0.00) ray d = (0.24,0.55,0.80)
x=178, y=1, ray o = (0.10,0.10,0.00) ray d = (0.24,0.55,0.80)
x=179, y=1, ray o = (0.10,0.10,0.00) ray d = (0.24,0.55,0.80)
x=180, y=1, ray o = (0.10,0.10,0.00) ray d = (0.25,0.55,0.80)
x=181, y=1, ray o = (0.10,0.10,0.00) ray d = (0.25,0.55,0.80)
x=182, y=1, ray o = (0.10,0.10,0.00) ray d = (0.26,0.55,0.79)
x=183, y=1, ray o = (0.10,0.10,0.00) ray d = (0.26,0.55,0.79)
x=184, y=1, ray o = (0.10,0.10,0.00) ray d = (0.26,0.55,0.79)
x=185, y=1, ray o = (0.10,0.10,0.00) ray d = (0.27,0.55,0.79)
x=186, y=1, ray o = (0.10,0.10,0.00) ray d = (0.27,0.55,0.79)
x=187, y=1, ray o = (0.10,0.10,0.00) ray d = (0.28,0.55,0.79)
x=188, y=1, ray o = (0.10,0.10,0.00) ray d = (0.28,0.55,0.79)
x=189, y=1, ray o = (0.10,0.10,0.00) ray d = (0.28,0.55,0.79)
x=190, y=1, ray o = (0.10,0.10,0.00) ray d = (0.29,0.54,0.79)
x=191, y=1, ray o = (0.10,0.10,0.00) ray d = (0.29,0.54,0.79)
x=192, y=1, ray o = (0.10,0.10,
